Hobby,Subtrait,Weight
데이터 분석/시각화 공부,데이터 이해,0.7
데이터 분석/시각화 공부,시각적 표현,0.6
데이터 분석/시각화 공부,문제 해결,0.5
인공지능(AI) 모델 만들어보기,프로그래밍,0.9
인공지능(AI) 모델 만들어보기,알고리즘 이해,0.8
인공지능(AI) 모델 만들어보기,데이터 이해,0.7
인공지능(AI) 모델 만들어보기,수학적 능력,0.6
인공지능(AI) 모델 만들어보기,창의성,0.5
천문학 공부/별자리 관측,천체 관측,0.9
천문학 공부/별자리 관측,천문학 이론,0.8
천문학 공부/별자리 관측,투영 기술,0.7
천문학 공부/별자리 관측,지구과학 이해,0.6
천문학 공부/별자리 관측,데이터 분석,0.5
식물학/원예학 심화 공부,식물 지식,0.9
식물학/원예학 심화 공부,관찰력,0.8
식물학/원예학 심화 공부,논리적 사고,0.7
식물학/원예학 심화 공부,실험 설계,0.6
식물학/원예학 심화 공부,데이터 분석,0.5
신화학/전설 연구,문화 이해,0.9
신화학/전설 연구,비판적 사고,0.8
신화학/전설 연구,분석적 사고,0.7
신화학/전설 연구,연구 능력,0.6
신화학/전설 연구,문서 작성,0.5
고전 문학 읽기 모임,문학 이해,0.9
고전 문학 읽기 모임,비판적 사고,0.8
고전 문학 읽기 모임,토론 능력,0.7
숲 치유 프로그램 참여/산림욕,힐링,0.9
숲 치유 프로그램 참여/산림욕,자연소통,0.8
숲 치유 프로그램 참여/산림욕,심리 안정,0.7
숲 치유 프로그램 참여/산림욕,건강 증진,0.6
숲 치유 프로그램 참여/산림욕,휴식,0.5
ASMR 콘텐츠 듣기/만들기,이어폰 필수,0.9
ASMR 콘텐츠 듣기/만들기,소리에 집중,0.8
ASMR 콘텐츠 듣기/만들기,편안한 분위기,0.7
ASMR 콘텐츠 듣기/만들기,수면 유도,0.6
ASMR 콘텐츠 듣기/만들기,스트레스 해소,0.5
만다라 그리기/패턴 아트,창작력 발휘,0.9
만다라 그리기/패턴 아트,집중력 향상,0.8
만다라 그리기/패턴 아트,패턴 인식,0.7
만다라 그리기/패턴 아트,색채 감각,0.6
만다라 그리기/패턴 아트,아트 테라피,0.5
"발효 음식 만들기 (김치, 장, 식초 등)",건강식품,0.9
"발효 음식 만들기 (김치, 장, 식초 등)",전통음식,0.8
"발효 음식 만들기 (김치, 장, 식초 등)",직접 만들기,0.7
"발효 음식 만들기 (김치, 장, 식초 등)",식문화,0.6
"발효 음식 만들기 (김치, 장, 식초 등)",요리 기술,0.5
치즈 만들기,치즈 종류,0.9
치즈 만들기,발효 공정,0.8
치즈 만들기,유제품,0.7
치즈 만들기,요리 재료,0.6
치즈 만들기,식품학,0.5
수제 맥주 양조 (홈브루잉),맥주의 종류,0.9
수제 맥주 양조 (홈브루잉),양조 공정,0.8
수제 맥주 양조 (홈브루잉),맛의 차이,0.7
수제 맥주 양조 (홈브루잉),맥주 문화,0.6
수제 맥주 양조 (홈브루잉),술 만들기,0.5
푸드 스타일링 배우기,음식 플레이팅,0.9
푸드 스타일링 배우기,음식 사진 촬영,0.8
푸드 스타일링 배우기,음식재료 배치,0.7
푸드 스타일링 배우기,색채 조합,0.6
푸드 스타일링 배우기,요리 예술,0.5
전통 다과 만들기,전통 제과,0.9
전통 다과 만들기,차 문화,0.8
전통 다과 만들기,다과 제조,0.7
전통 다과 만들기,한국 문화,0.6
전통 다과 만들기,미각 만족,0.5
오리엔티어링 (지도와 나침반으로 길 찾기),지도 해독,0.9
오리엔티어링 (지도와 나침반으로 길 찾기),나침반 사용,0.8
오리엔티어링 (지도와 나침반으로 길 찾기),탐험,0.7
오리엔티어링 (지도와 나침반으로 길 찾기),야외 활동,0.6
오리엔티어링 (지도와 나침반으로 길 찾기),운동능력,0.5
지오캐싱 (GPS 보물찾기),GPS 사용,0.9
지오캐싱 (GPS 보물찾기),보물 찾기,0.8
지오캐싱 (GPS 보물찾기),야외 활동,0.7
지오캐싱 (GPS 보물찾기),탐험,0.6
지오캐싱 (GPS 보물찾기),지리 정보,0.5
